ts,open,high,low,close,volume
1767744000000,93708.1,93708.1,90634.1,91328.0,148986.85
1767830400000,91328.1,91666.0,89242.0,91059.8,168475.944
1767916800000,91059.8,91999.0,89632.8,90603.6,140394.677
1768003200000,90603.7,90800.0,90351.6,90469.6,25270.741
1768089600000,90469.7,91252.5,90175.3,90964.4,43544.382
1768176000000,90964.4,92488.0,90066.0,91252.6,169237.383
1768262400000,91252.5,96863.7,91011.0,95375.2,200545.918
1768348800000,95375.2,97932.1,94413.4,96907.9,182043.491
1768435200000,96908.0,97155.0,95080.0,95567.3,149204.741
1768521600000,95567.4,95825.0,94234.5,95503.7,101218.089
1768608000000,95503.8,95621.9,94977.5,95107.9,38969.233
1768694400000,95107.9,95490.0,93550.3,93614.0,62580.393
1768780800000,93614.0,93614.1,91800.0,92589.6,108237.056
1768867200000,92589.6,92845.0,87787.2,88390.6,188076.2
1768953600000,88390.7,90599.5,87205.5,89411.4,208082.615
1769040000000,89411.4,90327.7,88465.6,89518.5,105914.221
1769126400000,89518.4,91195.0,88530.0,89558.7,124825.85
1769212800000,89558.7,89893.9,89116.9,89180.7,30735.937
1769299200000,89180.7,89281.6,86021.7,86628.9,124879.363
1769385600000,86628.9,88834.1,86463.2,88300.6,134609.491
1769472000000,88300.6,89499.0,87265.4,89197.8,117926.114
1769558400000,89197.8,90592.7,88786.0,89261.7,123884.859
1769644800000,89261.7,89316.8,83338.3,84604.7,226761.591
1769731200000,84604.7,84697.2,81000.0,84211.4,254794.516
1769817600000,84211.4,84239.5,75500.0,78706.8,271548.511
1769904000000,78706.7,79396.8,75644.0,76931.5,186984.08
1769990400000,76931.6,79311.0,74555.0,78692.5,259646.414
1770076800000,78692.5,79163.0,72889.2,75732.4,307725.516
1770163200000,75732.4,76952.5,71838.0,73137.4,293124.639
1770249600000,73137.5,73316.3,62233.3,62868.1,670089.741
1770336000000,62868.1,71714.4,59800.0,70544.5,559182.769
1770422400000,70544.5,71690.0,67250.0,69254.2,266663.651
1770508800000,69254.3,72300.0,68843.7,70288.1,162753.587
1770595200000,70288.2,71434.9,68271.7,70110.5,222442.828
1770681600000,70110.6,70499.9,67883.0,68805.3,183872.609
1770768000000,68805.3,69262.7,65718.5,67054.4,256625.524
1770854400000,67054.8,68385.0,65081.0,66243.1,199993.259
1770940800000,66243.2,69473.7,65833.9,68821.5,183043.289
1771027200000,68821.5,70557.7,68689.1,69795.4,114534.246
1771113600000,69795.4,70938.5,68029.6,68796.9,151250.13
1771200000000,68796.9,70110.9,67250.0,68862.5,149579.748
1771286400000,68862.6,69228.6,66588.0,67475.9,149185.122
1771372800000,67475.9,68438.0,65826.1,66422.8,163973.391
1771459200000,66422.8,67299.4,65595.7,66974.0,147432.601
1771545600000,66973.9,68283.7,66408.1,67979.3,225303.971
1771632000000,67979.3,68687.0,67488.9,67933.1,87495.493
1771718400000,67933.2,68220.0,67150.0,67613.5,84343.422
1771804800000,67613.6,67655.8,63860.0,64625.8,277151.296
1771891200000,64625.8,64980.0,62401.7,64031.3,223150.569
1771977600000,64031.4,69999.0,63876.0,67952.5,299238.818
1772064000000,67952.5,68850.0,66462.0,67448.2,177837.055
1772150400000,67448.1,68188.8,64875.6,65836.0,205957.364
